"genus_species","population_id","lifespan_days","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","latitude","longitude","realm_general2","maximum_body_size_svl_hbl_cm"
"Gasterosteus aculeatus","Gasterosteus aculeatus_37.327481_NA","2920","0.208","0.292","none","none",37.327481,-113.705435,"Freshwater","11"
"Ictalurus punctatus","Ictalurus punctatus_41.03_NA","8760","","","none","none",41.03,-75.47,"Freshwater","132"
"Ictalurus punctatus","Ictalurus punctatus_42.08_NA","8760","","","none","none",42.08,-81.34,"Freshwater","132"
"Lepomis cyanellus","Lepomis cyanellus_35.57_NA","3285","","","none","none",35.57,-97.63,"Freshwater","31"
"Lepomis cyanellus","Lepomis cyanellus_32.874_NA","3285","","","none","none",32.874,-110.809,"Freshwater","31"
"Lithobates pipiens","Lithobates pipiens_10_1554.48","3285","","","0.958","0.958",10,-83.788,"Terrestrial","16.5"
"Lithobates pipiens","Lithobates pipiens_17_2011.68","3285","","","0.958","0.958",17,-92.647,"Terrestrial","16.5"
"Lithobates pipiens","Lithobates pipiens_43.6805335_NA","3285","","","0.958","0.958",43.6805335,-90.082397,"Terrestrial","16.5"
"Lithobates pipiens","Lithobates pipiens_45_304.8","3285","","","0.958","0.958",45,-89.646,"Terrestrial","16.5"
"Lithobates sylvaticus","Lithobates sylvaticus_37.56_326","1898","","","0.958","0.958",37.56,-84.3,"Terrestrial","8.3"
"Lithobates sylvaticus","Lithobates sylvaticus_38.2_43","1898","","","0.958","0.958",38.2,-76.85,"Terrestrial","8.3"
"Litoria peronii","Litoria peronii_-27.553_NA","unk","","","none","none",-27.553,153.056,"Terrestrial","5.57"
"Luxilus cornutus","Luxilus cornutus_40.79_NA","2190","","","none","none",40.79,-73.91,"Freshwater","18"
"Meda fulgida","Meda fulgida_32.874_NA","730","","","none","none",32.874,-110.809,"Freshwater","9.1"
"Micropterus salmoides","Micropterus salmoides_42.08_NA","8395","","","0.708 and 0.958","0.708 and 0.958",42.08,-81.34,"Freshwater","97"
"Micropterus salmoides","Micropterus salmoides_32.874_NA","8395","","","0.708 and 0.958","0.708 and 0.958",32.874,-110.809,"Freshwater","97"
"Lithobates sylvaticus","Lithobates sylvaticus_38.8_250","1898","","","0.958","0.958",38.8,-83.4,"Terrestrial","8.3"
"Neobatrachus pictus","Neobatrachus pictus_-34.929_NA","unk","","","0.958","0.958",-34.929,138.6,"Terrestrial","5"
